graph	round_delay_ms	compute_s	reductions	rejected_per_edge
uniform	0	0.122673	317	0.935638
uniform	0.25	0.152956	226	0.935071
uniform	0.5	0.185627	212	0.935146
uniform	1	0.255752	199	0.935087
uniform	2	0.442566	199	0.935099
uniform	4	0.753347	181	0.935082
mesh	0	1.690646	15879	1.750368
mesh	0.25	5.630136	16034	1.915061
mesh	0.5	9.648380	16106	1.926586
mesh	1	18.103449	16421	2.101272
mesh	2	34.318740	16571	2.023528
mesh	4	65.163573	16229	2.055219
rmat	0	0.137507	227	1.485774
rmat	0.25	0.168188	180	1.495471
rmat	0.5	0.204156	174	1.400163
rmat	1	0.297544	174	1.451203
rmat	2	0.448117	174	1.507023
rmat	4	0.788183	174	1.510225
