graph	flush_interval	compute_s	reductions	rejected_per_edge	tram_messages
uniform	1	0.131558	307	0.946357	14439
uniform	2	0.131124	377	0.941783	11991
uniform	5	0.135010	429	0.937195	10258
uniform	10	0.134171	457	0.935470	9794
uniform	20	0.161811	769	0.935616	9536
mesh	1	0.482724	3122	1.522544	47266
mesh	2	0.774091	6218	1.643233	45884
mesh	5	1.667087	15998	1.758344	45432
mesh	10	2.961418	31759	1.845453	45500
mesh	20	5.627258	63548	1.860398	45401
rmat	1	0.144120	224	1.514641	19704
rmat	2	0.134420	215	1.417914	16564
rmat	5	0.132788	227	1.507958	15208
rmat	10	0.147744	314	1.388308	13585
rmat	20	0.145552	528	1.418483	13573
