nodes,workers,graph,sources,failed_variants,current,old-fixed,tuned-fixed,open,riken,gap,riken_ratio,riken_ci_low,riken_ci_high,gap_ratio,gap_ci_low,gap_ci_high,control_ratio,control_ci_low,control_ci_high,tuned-fixed_ratio,tuned-fixed_ci_low,tuned-fixed_ci_high,old-fixed_ratio,old-fixed_ci_low,old-fixed_ci_high,open_ratio,open_ci_low,open_ci_high
1,16,mesh20,8,,0.34327830332637854,0.6201712183575937,0.3173204334999209,0.4092737357171782,1.9572075643970546,0.025062409565783768,5.701518404838425,5.078176594473024,6.23941633979073,0.07300901141414465,0.06941285226633326,0.07716351991946183,1.0288752136907777,0.9931031414753108,1.067240331193302,0.924382433801015,0.8950283877546604,0.9576798439956731,1.8066135038192432,1.7145028796071906,1.882314040780703,1.1922505202085352,1.1216584529764315,1.2805861618060483
1,16,mesh22,8,,0.9743977402123408,1.259707433052906,0.9164389961792233,1.030737340857012,9.972150741315975,0.08918061075391867,10.234168584117247,8.891940104104878,11.884258503660563,0.0915238275639724,0.08262540111339102,0.10035564833183604,0.9968770842777679,0.9608622973866121,1.034166406383284,0.9405183923964283,0.920366453465136,0.9636627649974739,1.292806193062794,1.1755639350775478,1.433585549174144,1.0578199212904513,1.0027301915555586,1.133264473273964
1,16,rmat20,8,,0.27118226924857747,0.2825196377797872,0.27575622300333863,0.2871634857431854,0.055714896488200154,0.07302550220328705,0.20545184109042705,0.1985100003088508,0.21217157508139636,0.26928568156625565,0.2534856963811732,0.2855363429938336,0.9982652800617008,0.9616650694652611,1.0437406673115117,1.0168667139169356,0.9917624571150155,1.0464368360433274,1.0418071895431238,0.9941133018057257,1.0979957660617894,1.0589316423189852,1.0011924016566884,1.137669736845088
1,16,rmat20-s2,8,,0.27812388625647416,0.2950450184303411,0.3007027116587548,0.28259354509679674,0.056767807155780774,0.07715183721817934,0.20410978690061843,0.19051172971975636,0.22073325272737915,0.27740097499944016,0.2542984409737322,0.2988666917548299,1.031055609665546,0.9966038591056073,1.0615978862167132,1.0811826186746842,1.029482397520591,1.1320462416439951,1.0608402694267796,0.9936864497764849,1.129044080472214,1.016070747825668,0.9904854765964781,1.0442708119938173
1,16,rmat22,8,,1.0753655809699456,1.0634380303259696,1.1057542440084867,1.0764456898796324,0.2041268780759732,0.21674253645968022,0.18982091456921774,0.18408071650898886,0.19456859616185346,0.20155242114424507,0.19326463387480722,0.20962120329108322,0.9938473861576735,0.9560849385473361,1.0301113843405385,1.028258913597673,1.0104541168642387,1.0482319850196173,0.9889083760396927,0.9591431145159942,1.0213512911446212,1.0010044108987686,0.9567823506813681,1.0512907403531984
1,16,road-ny,8,,0.1882979324843838,0.4108543030989042,0.1254306196960701,0.18808167475863366,0.10520901516462894,0.006122657127269683,0.5587369642168232,0.5281146265993604,0.5905007577002815,0.032515795826794106,0.02996228839298572,0.035101001892342824,0.9926527666107801,0.9341479681202112,1.050190737722256,0.666128502002923,0.6331895114425886,0.7045711452637327,2.181937409923382,1.971392728518698,2.4314608641097393,0.9988515130097456,0.9538836806765973,1.046067971860612
1,16,uniform20,8,,0.29500753646790195,0.2894257193516254,0.2873656003949715,0.28768902508952665,0.11921432732035743,0.06428217123490815,0.40410603995985866,0.3908734933888528,0.41671087625868963,0.21790009843325586,0.20114472924170684,0.23248744477934496,0.9824387464764173,0.9454980966689652,1.0178951650581445,0.9740957937399611,0.9382533592468234,1.0090274864670723,0.9810790694261334,0.9501806539498544,1.0199363136385093,0.9751921206285128,0.943187183650614,1.002720763212532
1,16,uniform20-s2,8,,0.2890843564198845,0.29387748767213046,0.28750081926436866,0.2905752972169938,0.12269453750111732,0.06697603066902114,0.42442468703809066,0.4169438136704279,0.4321960003281718,0.2316833449532665,0.22102460854695624,0.2422711031716058,0.9905207718308003,0.9702993199056782,1.0117746078549357,0.9945222315896756,0.9644962257832517,1.0287894827347235,1.0165803895845686,0.9769390515422307,1.0611743844916195,1.005157459281345,0.9920910024365212,1.0237637062616542
1,16,youtube,8,,0.17308307870945275,0.17988321821611855,0.1844013894391736,0.16140428567214923,0.054808267152165496,0.024285192373821245,0.31665872574504994,0.3016805912704012,0.33165803931712273,0.14030945459774127,0.13435396657457435,0.1466051797202314,1.0205882701686138,0.9744928845375572,1.088532535555391,1.065392358479597,1.015797370205539,1.1103685078852852,1.0392882976046487,0.9807599123934461,1.099407739277052,0.9325249289278693,0.8965645697184916,0.9675780918597404
1,64,mesh22,8,,2.4733560160457366,2.5406841657236754,1.823796712984861,2.4481768972933873,6.474644932479589,0.05298191408792257,2.6177569627970056,2.1702838458685587,3.1072136683509757,0.02142106261460374,0.01874102308053062,0.02428069884468554,0.9999993902583585,0.9745464784758867,1.0256298055717756,0.7373773533422193,0.6303569200210823,0.8452227174590553,1.027221374214287,0.8730107179148807,1.1795883401140874,0.9898198566688333,0.9509206179773265,1.031532696054567
